assembly,reaction,flux,description
SRR9205539.asm1,EX_12ppd__S_e,0.0148986,"(S)-Propane-1,2-diol"
SRR9205539.asm1,EX_2mpa_e,1.0823745187649694,2 methylpropanoic acid
SRR9205539.asm1,EX_4abut_e,0.018,4-Aminobutanoate
SRR9205539.asm1,EX_acgam_e,-0.0073099718178378,N-Acetyl-D-glucosamine
SRR9205539.asm1,EX_ala__D_e,-0.1,D-Alanine
SRR9205539.asm1,EX_ala__L_e,-0.1,L-Alanine
SRR9205539.asm1,EX_arab__L_e,-0.0178783,L-Arabinose
SRR9205539.asm1,EX_arg__L_e,-0.015,L-Arginine
SRR9205539.asm1,EX_asn__L_e,-0.0225,L-Asparagine
SRR9205539.asm1,EX_asp__L_e,-0.0225,L-Aspartate
SRR9205539.asm1,EX_ca2_e,-0.0001902420165592,Calcium
SRR9205539.asm1,EX_cellb_e,-0.074493,Cellobiose
SRR9205539.asm1,EX_cit_e,-0.0005707625995367,Citrate
SRR9205539.asm1,EX_cl_e,-0.0001902420165592,Chloride
SRR9205539.asm1,EX_co2_e,1.139660246379969,CO2 CO2
SRR9205539.asm1,EX_cobalt2_e,-3.654985908918913e-06,Co2+
SRR9205539.asm1,EX_cu2_e,-2.591385009423509e-05,Copper
SRR9205539.asm1,EX_dad_2_e,-0.0163325238331582,Deoxyadenosine
SRR9205539.asm1,EX_dcyt_e,-0.1,Deoxycytidine
SRR9205539.asm1,EX_dgsn_e,-0.1,Deoxyguanosine
SRR9205539.asm1,EX_fe2_e,-0.0002454323037839,Fe2+ mitochondria
SRR9205539.asm1,EX_fe3_e,-0.0002853812997683,Iron (Fe3+)
SRR9205539.asm1,EX_fol_e,-2.445185573068942e-05,Folate
SRR9205539.asm1,EX_for_e,0.1037921476850734,Formate
SRR9205539.asm1,EX_fru_e,-0.0148986,D-Fructose
SRR9205539.asm1,EX_gal_e,0.019600545,D-Galactose
SRR9205539.asm1,EX_gam_e,-0.1,D-Glucosamine
SRR9205539.asm1,EX_glc__D_e,-0.0148986,D-Glucose
SRR9205539.asm1,EX_gln__L_e,-0.0107874606815046,L-Glutamine
SRR9205539.asm1,EX_glu__L_e,-0.018,L-Glutamate
SRR9205539.asm1,EX_gly_e,-0.045,Glycine
SRR9205539.asm1,EX_glyc3p_e,-0.1,Glycerol 3-phosphate
SRR9205539.asm1,EX_glyc_e,-0.1799655,Glycerol
SRR9205539.asm1,EX_gua_e,0.1,Guanine
SRR9205539.asm1,EX_h2o_e,0.8255545349417532,H2O H2O
SRR9205539.asm1,EX_h2s_e,0.0964768128829567,Hydrogen sulfide
SRR9205539.asm1,EX_h_e,0.5252901554244028,H+
SRR9205539.asm1,EX_his__L_e,-0.015,L-Histidine
SRR9205539.asm1,EX_inost_e,1.1047281164627128e-05,Myo-Inositol
SRR9205539.asm1,EX_k_e,-0.007134276645196,Potassium
SRR9205539.asm1,EX_lcts_e,-0.0074493,Lactose C12H22O11
SRR9205539.asm1,EX_leu__L_e,-0.015,L-Leucine
SRR9205539.asm1,EX_lys__L_e,-0.0125424861949052,L-Lysine
SRR9205539.asm1,EX_malt_e,-0.0074493,Maltose C12H22O11
SRR9205539.asm1,EX_man_e,-0.0148986,D-Mannose
SRR9205539.asm1,EX_melib_e,-0.0074493,Melibiose C12H22O11
SRR9205539.asm1,EX_meoh_e,-2.1052718852387908e-05,Methanol
SRR9205539.asm1,EX_met__L_e,-0.0056290072484669,L-Methionine
SRR9205539.asm1,EX_mg2_e,-0.0003170700275987,Magnesium
SRR9205539.asm1,EX_mn2_e,-2.525595263062969e-05,Manganese
SRR9205539.asm1,EX_mnl_e,-0.0148986,D-Mannitol
SRR9205539.asm1,EX_ncam_e,-8.326057900520656e-05,Nicotinamide
SRR9205539.asm1,EX_nh4_e,0.4288006214843181,Ammonium
SRR9205539.asm1,EX_o2_e,-0.001,O2 O2
SRR9205539.asm1,EX_phe__L_e,-0.0067714096441586,L-Phenylalanine
SRR9205539.asm1,EX_pi_e,-0.0430116014765545,Phosphate
SRR9205539.asm1,EX_ppap_e,0.1069700412777194,Propanoyl phosphate
SRR9205539.asm1,EX_pro__L_e,-0.0038906850206701,L-Proline
SRR9205539.asm1,EX_raffin_e,-0.004701945,Raffinose C18H32O16
SRR9205539.asm1,EX_rmn_e,-0.0148986,L-Rhamnose
SRR9205539.asm1,EX_so4_e,-0.1,Sulfate
SRR9205539.asm1,EX_sucr_e,-0.0074493,Sucrose C12H22O11
SRR9205539.asm1,EX_thm_e,-8.150618576889177e-06,Thiamin
SRR9205539.asm1,EX_thr__L_e,-0.0198873631281732,L-Threonine
SRR9205539.asm1,EX_thym_e,0.0990436363870722,Thymine C5H6N2O2
SRR9205539.asm1,EX_thymd_e,-0.1,Thymidine C10H14N2O5
SRR9205539.asm1,EX_tre_e,-0.074493,Trehalose
SRR9205539.asm1,EX_trp__L_e,-0.0020776036402067,L-Tryptophan
SRR9205539.asm1,EX_tyr__L_e,-0.0050400793689628,L-Tyrosine
SRR9205539.asm1,EX_ura_e,0.0888658529755194,Uracil
SRR9205539.asm1,EX_xyl__D_e,-0.0178783,D-Xylose
SRR9205539.asm1,EX_xylan4_e,-3.21e-05,"Xylan (4 backbone units, 1 glcur side chain)"
SRR9205539.asm1,EX_zn2_e,-1.246350194941334e-05,Zinc
SRR9205618.asm1,EX_12ppd__S_e,0.0148986,"(S)-Propane-1,2-diol"
SRR9205618.asm1,EX_2mpa_e,1.119389154036829,2 methylpropanoic acid
SRR9205618.asm1,EX_4abut_e,0.018,4-Aminobutanoate
SRR9205618.asm1,EX_acgam_e,-0.0075463584402039,N-Acetyl-D-glucosamine
SRR9205618.asm1,EX_ala__D_e,-0.1,D-Alanine
SRR9205618.asm1,EX_ala__L_e,-0.1,L-Alanine
SRR9205618.asm1,EX_arab__L_e,-0.0178783,L-Arabinose
SRR9205618.asm1,EX_arg__L_e,-0.015,L-Arginine
SRR9205618.asm1,EX_asn__L_e,-0.0225,L-Asparagine
