assembly,classification,fastani_ani,fastani_af,closest_placement_ani,closest_placement_af,msa_percent,classification_method,species
SRR9205533.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.26,0.84,97.26,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205534.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.84,97.25,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205536.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.21,0.84,97.21,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205537.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.28,0.82,97.28,0.82,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205538.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.26,0.84,97.26,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205539.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.24,0.84,97.24,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205540.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.27,0.84,97.27,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205541.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.28,0.84,97.28,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9205543.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.64,0.82,98.64,0.82,96.13,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9205544.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.66,0.82,98.66,0.82,96.13,taxonomic classification defined by topology and ANI,Bacteroides fragilis
