Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
SRR9205533.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205534.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205536.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205537.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	295	16	0	0	0	98.80	5.61	93.75
SRR9205538.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205539.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205540.asm1	p__Bacteroidetes (UID2605)	350	314	208	2	311	1	0	0	0	99.28	0.48	0.00
SRR9205541.asm1	p__Bacteroidetes (UID2605)	350	314	208	3	310	1	0	0	0	98.80	0.48	0.00
SRR9205543.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205544.asm1	o__Bacteroidales (UID2657)	160	492	269	2	490	0	0	0	0	99.26	0.00	0.00
SRR9205553.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205555.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205558.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205559.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205560.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205562.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205563.asm1	g__Bacteroides (UID2691)	33	839	309	3	835	1	0	0	0	99.46	0.08	0.00
SRR9205571.asm1	g__Bacteroides (UID2691)	33	839	309	4	828	7	0	0	0	99.24	1.19	14.29
SRR9205572.asm1	g__Bacteroides (UID2691)	33	839	309	4	828	7	0	0	0	99.24	1.19	14.29
SRR9205575.asm1	g__Bacteroides (UID2691)	33	839	309	4	821	14	0	0	0	99.24	1.83	57.14
SRR9205578.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9205580.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9205581.asm1	k__Bacteria (UID2982)	88	229	147	3	226	0	0	0	0	97.96	0.00	0.00
SRR9205582.asm1	k__Bacteria (UID203)	5449	104	58	0	79	25	0	0	0	100.00	15.34	0.00
SRR9205586.asm1	g__Bacteroides (UID2691)	33	839	309	4	835	0	0	0	0	99.14	0.00	0.00
SRR9205593.asm1	g__Bacteroides (UID2691)	33	839	309	3	834	2	0	0	0	99.46	0.65	50.00
SRR9205598.asm1	g__Bacteroides (UID2691)	33	839	309	3	836	0	0	0	0	99.46	0.00	0.00
SRR9205599.asm1	g__Bacteroides (UID2691)	33	839	309	3	836	0	0	0	0	99.46	0.00	0.00
SRR9205603.asm1	g__Bacteroides (UID2691)	33	839	309	3	836	0	0	0	0	99.46	0.00	0.00
SRR9205606.asm1	g__Bacteroides (UID2691)	33	839	309	2	836	1	0	0	0	99.51	0.04	0.00
